Unique_Key,Agency_Name,Complaint_Type,Descriptor
26519097,New York City Police Department,Illegal Parking,Blocked Sidewalk
26519916,New York City Police Department,Illegal Parking,Blocked Hydrant
26519583,New York City Police Department,Illegal Parking,Blocked Hydrant
26520198,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26518640,New York City Police Department,Illegal Parking,Blocked Sidewalk
26518814,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26518248,New York City Police Department,Illegal Parking,Blocked Sidewalk
26518041,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26519239,New York City Police Department,Illegal Parking,Blocked Hydrant
26519053,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26518713,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26520335,New York City Police Department,Illegal Parking,Blocked Sidewalk
26518726,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26519530,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26521054,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26519154,New York City Police Department,Illegal Parking,Blocked Sidewalk
26518736,New York City Police Department,Illegal Parking,Blocked Sidewalk
26519641,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26518923,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26519523,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26519234,New York City Police Department,Illegal Parking,Blocked Hydrant
26519560,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26518555,New York City Police Department,Illegal Parking,Blocked Sidewalk
26515695,New York City Police Department,Illegal Parking,Blocked Hydrant
26515756,New York City Police Department,Illegal Parking,Blocked Hydrant
26515831,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26515910,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26516049,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26515051,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26515197,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26516501,New York City Police Department,Illegal Parking,Blocked Sidewalk
26515559,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26514485,New York City Police Department,Illegal Parking,Blocked Sidewalk
26517759,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26517126,New York City Police Department,Illegal Parking,Blocked Hydrant
26516607,New York City Police Department,Illegal Parking,Blocked Sidewalk
26516585,New York City Police Department,Illegal Parking,Blocked Sidewalk
26514379,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26514201,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26514504,New York City Police Department,Illegal Parking,Blocked Sidewalk
26515920,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26515773,New York City Police Department,Illegal Parking,Blocked Hydrant
26514592,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26513982,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26514936,New York City Police Department,Illegal Parking,Blocked Hydrant
